RTANTA1/0D  400.00,XKO_TI12    400.00
DICASTIL/0D 400.00,CASTEJON/EE 400.00
DICASTIL/0D 400.00,ICHASO/EN   400.00
DICASTIL/0D 400.00,MURUARTE/ER 400.00
DICASTIL/0D 400.00,VITORIA/EY  400.00
MDUME 21/0D 220.00,MMART 11/18 220.00
MDUME 21/0D 220.00,MMART 11/19 220.00
MDUME 21/0D 220.00,MOCSA 21/1G 220.00
SBAERENBU/0D220.00,SFERRERA/0E 220.00
SBAERENBU/0D220.00,SSILS/3X    220.00
RURECH1/0E  400.00,RP.D.F1/0G  400.00
RURECH1/0E  400.00,RDOMNE1/0L  400.00
VALDEMIN/0E 220.00,VILLAV.E/36 220.00
RMINTI1A/0F 400.00,RARAD 1/0J  400.00
FONTFRIA/0F 220.00,PAZOSBOR/K6 220.00
FONTFRIA/0F 220.00,SUIDO/L1    220.00
SUBSTATIO/0F220.00,SUBSTATIO/4F220.00
SUBSTATIO/0F220.00,SUBSTATIO/YF220.00
SLAPUNT/0F  380.00,SPRADELLA/39380.00
SLAPUNT/0F  380.00,SSILS/3W    380.00
CALB__11/0F 400.00,CDET__11/28 400.00
CALB__11/0F 400.00,CNOS__11/60 400.00
RP.D.F1/0G  400.00,RSLATI1A/0I 400.00
RP.D.F1/0G  400.00,RRESIT1A/0T 400.00
RP.D.F1/0G  400.00,XPF_DJ11    400.00
FONTFRIA/0G 400.00,BEARIZ/0H   400.00
FONTFRIA/0G 400.00,XFA_VI11    400.00
SLAPUNT/0G  380.00,SPRADELLA/39380.00
SLAPUNT/0G  380.00,SROBBIA/3E  380.00
RDRAGA1/0H  400.00,RSLATI1A/0I 400.00
BEARIZ/0H   400.00,CARTELLE/DA 400.00
BEARIZ/0H   400.00,MESON V./DN 400.00
ROSELECTR/0H380.00,ROSIGNANO/UG380.00
SLAPUNT/0H  380.00,SFILISUR/1P 380.00
SLAPUNT/0H  380.00,SROBBIA/3F  380.00
RSLATI1A/0I 400.00,RBUC.S1/0M  400.00
RSLATI1A/0I 400.00,RT.MAG 1/1P 400.00
RSLATI1A/0I 400.00,RT.MAG 1/1P 400.00
CANDEDO/0I  400.00,XOVE/0J     400.00
CANDEDO/0I  400.00,NARAIO/DC   400.00
CANDEDO/0I  400.00,COMPOSTI/DD 400.00
CANDEDO/0I  400.00,LUDRIO/DK   400.00
CANDEDO/0I  400.00,SILLEDA/DL  400.00
CANDEDO/0I  400.00,ABEGONDO/ZT 400.00
GPTOLEM/0I  400.00,GAMYNT11/CC 400.00
GPTOLEM/0I  400.00,GAGDI12/CR  400.00
GPTOLEM/0I  400.00,GLARIS11/FM 400.00
GPTOLEM/0I  400.00,GK-TRI31/H2 400.00
GPTOLEM/0I  400.00,XZE_KA11    400.00
MPERK 11/0I 400.00,MMART 11/17 400.00
MPERK 11/0I 400.00,MPAKSU11/1V 400.00
STINZEN/0I  220.00,STIEFENCA/0J220.00
STINZEN/0I  220.00,SSILS/3X    220.00
RARAD 1/0J  400.00,RNADAB1B/0K 400.00
